Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
BGUSat (NEGEVSAT),本古里安大学卫星,Ben Gurion University Satellite,Israel,3U,2/15/17,"Reentered, Operational","First educational satellite. VGA Camera, ADCS.",sat/bgusat.html,https://www.nanosats.eu/sat/bgusat.html,
"DIDO-2 (SpacePharma, Chen Jiayong 1, Chen Jiayi, Chenjiayi-1)",迪都2号,SpacePharma,Israel,3U,2/15/17,"Operational, ?",Carry the first generation of their mGnify lab to conduct biochemical experiments in microgravity.,sat/dido.html,https://www.nanosats.eu/sat/dido.html,
INS 1A (ISRO Nanosatellite),印度纳卫星1A,ISRO,India,8.4 kg,2/15/17,"Reentered, Unknown",Radiometer to measure reflected sunlight from Earth and Single Event Upsets monitor.,sat/ins-1a.html,https://www.nanosats.eu/sat/ins-1a.html,
INS 1B (ISRO Nanosatellite),印度纳卫星1B,ISRO,India,9.7 kg,2/15/17,"Reentered, Unknown",Radiometer to measure reflected sunlight from Earth and Single Event Upsets monitor.,sat/ins-1b.html,https://www.nanosats.eu/sat/ins-1b.html,
"Nayif-1 (Emirates OSCAR 88, EO 88)",纳伊夫1号,Mohammed Bin Rashid Space Centre (MBRSC),United Arab Emirates,1U,2/15/17,"Reentered, Operational, ?",Educational training and amateur radio communications.,sat/nayif-1.html,https://www.nanosats.eu/sat/nayif-1.html,
PEASSS (PiezoElectric Assisted Smart Satellite Structure),压电辅助智能结构卫星,ISISpace,Netherlands,3U,2/15/17,"Reentered, Operational, ?",Demonstrate piezo actuated panels for power generation and instrument pointing.,sat/peasss.html,https://www.nanosats.eu/sat/peasss.html,
Aalto-2 (FI01),阿尔托2号,Aalto University,Finland,2U,4/18/17,"Reentered, Was operational",Part of QB50 to study lower termosphere.,sat/aalto-2.html,https://www.nanosats.eu/sat/aalto-2.html,
ALTAIR 1 (ALTAIR Pathfinder),牛郎星探路者,Millennium Space Systems,US,6U (1x6U),4/18/17,"Reentered, Was operational",Test flight of ALTAIR bus.,sat/altair-1.html,https://www.nanosats.eu/sat/altair-1.html,
"Aoxiang-1 (Ao Xiang-1, Aoxiang yi hao, BE04, CN04)",翱翔一号,Northwestern Polytechnical University,China,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/aoxiang-1.html,https://www.nanosats.eu/sat/aoxiang-1.html,
"Atlantis (QBUS 2, US02)",Q巴士2号,University of Michigan,US,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/atlantis.html,https://www.nanosats.eu/sat/atlantis.html,
BeEagleSat (TR01),为鹰卫星,Istanbul Technical University,Turkey,2U,4/18/17,"Reentered, Was semi-operational",Part of QB50 to study lower termosphere.,sat/beeaglesat.html,https://www.nanosats.eu/sat/beeaglesat.html,
"Challenger (QBUS 1, US01)",Q巴士1号,University of Colorado Boulder,US,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/challenger.html,https://www.nanosats.eu/sat/challenger.html,
"Columbia (QBUS 4, US04)",Q巴士4号,University of Turabo,US,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/columbia.html,https://www.nanosats.eu/sat/columbia.html,
"CSUNSat 1 (CSUNSat1, California State University Northridge Sat)",加利福尼亚州立大学北岭分校卫星1号,California State University,US,2U,4/18/17,"Reentered, Was operational",Part of QB50 to study lower termosphere.,sat/csunsat-1.html,https://www.nanosats.eu/sat/csunsat-1.html,
"CXBN 2 (The Cosmic X-Ray Background NanoSat-2, CXBN-2)",宇宙X射线背景2号,Morehead State University,US,2U,4/18/17,"Reentered, No signal",Measure diffuse x-ray background radiation.,sat/cxbn-2.html,https://www.nanosats.eu/sat/cxbn-2.html,
"Duchifat-2 (Hoopoe-2, IL01)",杜希法特2号,Herzliya Science Center,Israel,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/hoopoe.html,https://www.nanosats.eu/sat/hoopoe.html,
"DUTHSat (DUTH, GR01)",塞萨斯德谟克里特大学卫星,Democritus University of Thrace,Greece,2U,4/18/17,"Reentered, Was operational",Part of QB50 to study lower termosphere.,sat/duthsat.html,https://www.nanosats.eu/sat/duthsat.html,
"Ex-Alta 1 (Experimental Albertan #1, EXALTA-1, CA03)",阿尔伯塔试验星1号,University of Alberta,Canada,3U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere and demonstrate fluxgate magnetometer.,sat/ex-alta-1.html,https://www.nanosats.eu/sat/ex-alta-1.html,
HavelSat (TR02),哈维尔卫星,Istanbul Technical University,Turkey,2U,4/18/17,"Reentered, Was semi-operational",Part of QB50 to study lower termosphere.,sat/havelsat.html,https://www.nanosats.eu/sat/havelsat.html,
"i-INSPIRE II (Inspire-2, AU03)",I-启灵2号,University of Sydney,Australia,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/i-inspire-ii.html,https://www.nanosats.eu/sat/i-inspire-ii.html,
IceCube (Earth-1),冰立方,NASA Goddard Space Flight Center,US,3U,4/18/17,"Reentered, Operational",Demonstrate 883-gigahertz submillimeter-wave receiver to measure atmospheric ice.,sat/icecube-earth.html,https://www.nanosats.eu/sat/icecube-earth.html,
KySat-3 (SGSat),肯塔基卫星3号,University of Kentucky,US,1U,4/18/17,"Reentered, No signal",Evaluate a new Stellar Gyroscope attitude determination system.,sat/kysat-3.html,https://www.nanosats.eu/sat/kysat-3.html,
"LilacSat-1 (Zidingxiang-1, BE02, CN02)",紫丁香一号,Harbin Institute of Technology,China,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/lilacsat-1.html,https://www.nanosats.eu/sat/lilacsat-1.html,
"Link (Little Intelligent Nanosatellite of KAIST, KR01)",韩国科学技术院机灵鬼纳卫星,Korea Advanced Institute of Science and Technology (KAIST),South Korea,2U,4/18/17,"Reentered, Was semi-operational",Part of QB50 to study lower termosphere.,sat/link.html,https://www.nanosats.eu/sat/link.html,
NJUST-1 (BE03),南理工二号,Nanjing University of Science and Technology,China,2U,4/18/17,"Reentered, Semi-operational, ?",Part of QB50 to study lower termosphere.,sat/njust-1.html,https://www.nanosats.eu/sat/njust-1.html,
"nSIGHT (nSIGHT1, nSight-1, AZ02)",N视野1号,Space Advisory Company,South Africa,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/nsight.html,https://www.nanosats.eu/sat/nsight.html,
PHOENIX (TW01),凤凰号(台湾卫星),National Cheng Kung University,Taiwan,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/phoenix.html,https://www.nanosats.eu/sat/phoenix.html,
"PolyITAN-2-SAU (KPI-SAU, UA01)",聚乙烯2号-SAU,National Technical University of Ukraine,Ukraine,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/polyitan-2-sau.html,https://www.nanosats.eu/sat/polyitan-2-sau.html,
"qbee (qbee50-LTU-OC, SE01, QB01, OBEE50 LTU-OC )",吕勒奥理工大学-开放空间qbee50卫星,Luleå University of Technology (LTU),Sweden,2U,4/18/17,"Reentered, Semi-operational",Part of QB50 to study lower termosphere.,sat/qbee.html,https://www.nanosats.eu/sat/qbee.html,
Qbito (ES01),Q比特,Polytechnic University of Madrid,Spain,2U,4/18/17,"Reentered, No signal",Part of QB50 to study lower termosphere and demonstrate medium-wave infrared detector.,sat/qbito.html,https://www.nanosats.eu/sat/qbito.html,
SHARC Biarri-Point (Spacecraft for High Accuraccy Radar Calibration),高性能ARGOS收发通信卫星,Air Force Research Laboratory (AFRL),US,5U,4/18/17,"Reentered, Unknown, Likely operational",Provide radar calibration for ground based radars.,sat/sharc-biarri-point.html,https://www.nanosats.eu/sat/sharc-biarri-point.html,
SNUSat-1 (KR02),首尔大学卫星1号,Seoul National University,South Korea,2U,4/18/17,"No signal, Reentered",Part of QB50 to study lower termosphere.,sat/snusat-1.html,https://www.nanosats.eu/sat/snusat-1.html,
"SOMP2 (SOMP 2, SOMP-2, DE02)",学生测氧项目星2号,Dresden University of Technology,Germany,2U,4/18/17,"Reentered, No signal",Part of QB50 to study lower termosphere and measure atomic oxygen.,sat/somp2.html,https://www.nanosats.eu/sat/somp2.html,
SpaceCube (FR05),空间立方星,Mines Paristech,France,2U,4/18/17,"Reentered, Operational, ?",Part of QB50 to study lower termosphere.,sat/spacecube.html,https://www.nanosats.eu/sat/spacecube.html,
SUSat (AU01),阿德莱德大学卫星,University of Adelaide,Australia,2U,4/18/17,"Reentered, No signal",Part of QB50 to study lower termosphere.,sat/susat.html,https://www.nanosats.eu/sat/susat.html,
UNSW-EC0 (AU02),新南威尔士大学EC0卫星,The University of New South Wales,Australia,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere and test GPS-RO receiver.,sat/unsw-ec0.html,https://www.nanosats.eu/sat/unsw-ec0.html,
"UPSat (CubeSat by the University of Patras, GR02)",上传卫星,Libre Space Foundation,Greece,2U,4/18/17,"Reentered, Was operational, Was semi-operational",Part of QB50 to study lower termosphere.,sat/upsat.html,https://www.nanosats.eu/sat/upsat.html,
"X-Cubesat (XCubeSat, FR01)",X立方星,Ecole Polytechnique,France,2U,4/18/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/x-cubesat.html,https://www.nanosats.eu/sat/x-cubesat.html,
"ZA-AeroSat (AZ01, ZA Aerosat)",扎-气动卫星,Cape Peninsula University of Technology,South Africa,3U,4/18/17,"Reentered, Semi-operational",Part of QB50 to study lower termosphere.,sat/za-aerosat.html,https://www.nanosats.eu/sat/za-aerosat.html,
"SilkRoad-1 01 (Silk Road, Silu 1)",“丝路一号”科学试验卫星01星,Xi'an Institute of Surveying and Mapping,China,3U,4/20/17,"Reentered, Unknown",Pathfinder for a constellation of around 30 satellites operating across a variety of wavelengths.,sat/silkroad-1.html,https://www.nanosats.eu/sat/silkroad-1.html,
"BIRD-B (Brac Onnesha, BIRDS-1, BIRD BB)",鸟卫星B,Brac University,Bangladesh,1U,6/3/17,"Reentered, Semi-operational",Amateur radio communications and educational training.,sat/brac-onnesha.html,https://www.nanosats.eu/sat/brac-onnesha.html,
"BIRD-G (Ghanasat 1, ANUSAT-1, BIRDS-1, BIRD GG)",鸟卫星G,Kyushu Institute of Technology,Ghana,1U,6/3/17,"Reentered, No signal",Amateur radio communications and educational training.,sat/ghanasat-1.html,https://www.nanosats.eu/sat/ghanasat-1.html,
"BIRD-J (Toki, BIRDS-1, BIRD JJ)",鸟卫星J,Kyushu Institute of Technology,Japan,1U,6/3/17,"Reentered, Was semi-operational",Amateur radio communications and educational training.,sat/toki.html,https://www.nanosats.eu/sat/toki.html,
"BIRD-M (Mazaalai, NUMSAT 1, BIRDS-1, BIRD MM)",鸟卫星M,Kyushu Institute of Technology,Mongolia,1U,6/3/17,"Reentered, Semi-operational",Amateur radio communications and educational training.,sat/mazaalai.html,https://www.nanosats.eu/sat/mazaalai.html,
"BIRD-N (Nigeria EduSat-1, BIRDS-1, BIRD NN)",鸟卫星N,Federal University of Technology Akure,Nigeria,1U,6/3/17,"Reentered, Semi-operational",Amateur radio communications and educational training.,sat/nigeria-edusat-1.html,https://www.nanosats.eu/sat/nigeria-edusat-1.html,
"Tanyusha-YuZGU 1 (Radioskaf RS-6, Tanyusha-SWSU 1, Tanusha-SWSU 1 Tanusha 1, RS-6S)",塔育沙-西南国立大学1号,Southwestern State University,Russia,3U,6/14/17,"Reentered, Was operational",Achieve autonomous grouping of satellites in space and measure density of vacuum.,sat/tanyusha-yuzgu.html,https://www.nanosats.eu/sat/tanyusha-yuzgu.html,
"TNS 0-2 (Technologicesky Nanosputnik, TNS-0 No. 2, TNS-0#2)",技术试验纳卫星,Southwestern State University,Russia,3U,6/14/17,"Reentered, Operational",Use of the GlobalStar communication system. Obtain the flight qualification of the instruments and sensors installed onboard.,sat/tns-0-2.html,https://www.nanosats.eu/sat/tns-0-2.html,
Aalto-1,阿尔托1号,Aalto University,Finland,3U,6/23/17,"Semi-operational, Was operational, ?",Build first Finnish Earth Observation nanosatellite and demonstrate technologies including E-sail.,sat/aalto-1.html,https://www.nanosats.eu/sat/aalto-1.html,
CICERO-6 (Community Initiative for Continuous Earth Remote Observation),西塞罗6,GeoOptics,US,6U,6/23/17,Was operational,Demonstration of GPS radio occultation sensor that allows the measurement of global weather pattern with high accuracy.,sat/cicero.html,https://www.nanosats.eu/sat/cicero.html,
D-Sat (Deorbit Satellite),离轨卫星,D-Orbit,Italy,3U,6/23/17,Was operational,Test deorbiting device and disaster alert payload.,sat/d-sat.html,https://www.nanosats.eu/sat/d-sat.html,
Diamond - Blue (Diamond Blue),三颗钻石,Sky and Space,UK,3U,6/23/17,Operational,"Demonstrate voice, M2M and IoT communication services and ISL (Inter Satellite Link).",sat/diamond.html,https://www.nanosats.eu/sat/diamond.html,
"DragSail-CubeSat (Dragsat-CubeSat, Compass-2, Compass 2, DE04)",指南针2号,Aachen University of Applied Sciences,Germany,3U,6/23/17,"Reentered, No signal",Part of QB50 to study lower termosphere.,sat/dragsail-cubesat.html,https://www.nanosats.eu/sat/dragsail-cubesat.html,
InflateSail (GB06),膨胀航行,University of Surrey,UK,3U,6/23/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/inflatesail.html,https://www.nanosats.eu/sat/inflatesail.html,
"LituanicaSAT-2 (LT01, LITUANICASAT 2)",立陶宛卫星2号,NanoAvionics,Lithuania,3U,6/23/17,"Reentered, Semi-operational, Was operational",Part of QB50 to study lower termosphere.,sat/lituanicasat-2.html,https://www.nanosats.eu/sat/lituanicasat-2.html,
Max Valier,马克斯·瓦列尔卫星,Max Valier Technical High School,Italy,10 kg,6/23/17,Operational,Test small x-ray telescope and AIS receiver.,sat/max-valier.html,https://www.nanosats.eu/sat/max-valier.html,
"NUDTSat (BE06, CN06)",国防科大立方星,National University of Defense Technology (NUDT),China,2U,6/23/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/nudtsat.html,https://www.nanosats.eu/sat/nudtsat.html,
"PACSCISAT (Tyvak-53b, Tyvak 53, Tyvak 53B, PacSci EMC, Pacific Scientific)",太平洋科学卫星,Tyvak,US,3U,6/23/17,"Reentered, Was operational",Technology demonstration for deorbiting.,sat/pacscisat.html,https://www.nanosats.eu/sat/pacscisat.html,
Pegasus (AT03),飞马座卫星(澳大利亚),University of Applied Sciences Wiener Neustadt,Austria,2U,6/23/17,Operational,Part of QB50 to study lower termosphere.,sat/pegasus.html,https://www.nanosats.eu/sat/pegasus.html,
ROBUSTA-1B,双极辐射试验大学应用卫星1B,University of Montpellier,France,1U,6/23/17,"Reentered, Operational",Measure the radiation induced degradation of electronic devices.,sat/robusta-1b.html,https://www.nanosats.eu/sat/robusta-1b.html,
skCube,斯洛伐克立方星,Slovak Organisation for Space Activities,Slovakia,1U,6/23/17,"Reentered, Was semi-operational, Was operational",Observe the ultraviolet radiation upper atmosphere on the night side of the Earth,sat/skcube.html,https://www.nanosats.eu/sat/skcube.html,
SUCHAI,智利大学航空航天研究卫星,University of Chile,Chile,1U,6/23/17,"Was operational, Reentered",Educational training and optical camera to take photos of the Earth.,sat/suchai.html,https://www.nanosats.eu/sat/suchai.html,
UCLSat (GB03),伦敦大学学院卫星,University College London,UK,2U,6/23/17,"Reentered, Was operational",Part of QB50 to study lower termosphere.,sat/uclsat.html,https://www.nanosats.eu/sat/uclsat.html,
"Ursa Maior (University of Rome la SApienza Micropropulsion for Attitude and In Orbit debris Removal testing, IT02)",罗马大学在轨微姿态试验卫星,Sapienza University of Rome,Italy,3U,6/23/17,Was operational,Part of QB50 to study lower termosphere.,sat/ursa-maior.html,https://www.nanosats.eu/sat/ursa-maior.html,
Venta-1,文塔1号,University of Applied Sciences Bremen,Latvia,7.5 kg,6/23/17,"Was semi-operational, Was operational",Educational training and AIS receiver.,sat/venta-1.html,https://www.nanosats.eu/sat/venta-1.html,
VZLUSAT-1 (CZ02),捷克航空航天研究中心卫星1号,Aerospace Research and Test Establishment,Czech,2U,6/23/17,"Reentered, Operational",Part of QB50 to study lower termosphere.,sat/vzlusat-1.html,https://www.nanosats.eu/sat/vzlusat-1.html,
"Ecuador-UTE-YuZGU (UTE-UESOR, Ekvador-UTE-YuZGU)",平等技术大学-俄罗斯西南国立大学卫星,Tecnologica Equinoccial University (UTE),Ecuador,1U,7/14/17,Was semi-operational,Educational training and amateur radio mission.,sat/ecuador-ute-yuzgu.html,https://www.nanosats.eu/sat/ecuador-ute-yuzgu.html,
Iskra-MAI-85,伊斯科拉-莫斯科航空学院85,Moscow Aviation Institute (MAI),Russia,3U,7/14/17,No signal,Educational training and using only domestically produced components.,sat/iskra-mai-85.html,https://www.nanosats.eu/sat/iskra-mai-85.html,
"Landmapper-BC 1 (Corvus-BC, Perseus-O)",陆地绘制者BC-1,Astro Digital,US,6U,7/14/17,No signal,Commercial constellation providing multispectral Earth observation data.,sat/corvus-bc.html,https://www.nanosats.eu/sat/corvus-bc.html,
Mayak,烽火台卫星,Moscow State University of Mechanical Engineering,Russia,3U,7/14/17,No signal,Unfurl a very large reflector to become the brightest object in the sky.,sat/mayak.html,https://www.nanosats.eu/sat/mayak.html,
MKA-N 1,MKA-N 1,Dauria Aerospace,Russia,6U,7/14/17,No signal,Multispectral imaging system with a resolution of 22 meters per pixel.,sat/mka-n.html,https://www.nanosats.eu/sat/mka-n.html,
NanoACE,纳ACE卫星,Tyvak,US,3U,7/14/17,"Operational, ?",Validate CubeSat platform technologies and test propulsion module plus cameras.,sat/nanoace.html,https://www.nanosats.eu/sat/nanoace.html,
"ASTERIA (ExoplanetSat, Arcsecond Space Telescope Enabling Research in Astrophysics)",天体物理弧秒空间望远镜,NASA Jet Propulsion Laboratory,US,6U,8/14/17,"Reentered, Was operational",Telescope to monitor a single start for two years to find transiting exoplanets.,sat/asteria.html,https://www.nanosats.eu/sat/asteria.html,
"Dellingr (RBLE, Radiation Belt Loss Experiment)",德林杰,NASA Goddard Space Flight Center,US,6U,8/14/17,"Reentered, Operational",Demonstrate CubeSat platform and magnetometer deployed on a boom.,sat/dellingr.html,https://www.nanosats.eu/sat/dellingr.html,
OSIRIS-3U (Orbital Satellite for Investigating the Response of the Ionosphere to Stimulation and Space Weather),电离层响应调查卫星,The Pennsylvania State University,US,3U,8/14/17,"No signal, Reentered",Study artificially create space weather events to research radiowave-plasma interactions.,sat/osiris-3u.html,https://www.nanosats.eu/sat/osiris-3u.html,
DHFR (DARPA High Frequency Receiver Experiment),高频接收试验星,DARPA,US,3U,8/26/17,"Reentered, No signal",DARPA High Frequency Receiver Experiment.,sat/dhfr.html,https://www.nanosats.eu/sat/dhfr.html,
X37B CubeSat 1? (USA 295),美国295号,DARPA,US,3U,9/7/17,"Reentered, Unknown",Suspected CubeSats deployed from the Boeing X-37B OTV-5 mission.,sat/x37b-cubesats.html,https://www.nanosats.eu/sat/x37b-cubesats.html,
Asgardia-1 (Asgardia 1),阿斯伽迪亚1号,Asgardia Space,US,2U,11/12/17,"Reentered, Operational, ?",Test the concept of long-term data storage in orbit around the Earth.,sat/asgardia-1.html,https://www.nanosats.eu/sat/asgardia-1.html,
CHEFSat (Cost-effective High E-Frequency Satellite),高性价比E频卫星1号,US Naval Research Laboratory,US,3U,11/12/17,"Reentered, Operational",Test and prepare consumer communications technology for use in space,sat/chefsat.html,https://www.nanosats.eu/sat/chefsat.html,
EcAMSat (E. Coli AntiMicrobialSat),大肠杆菌抗生素卫星,NASA Ames Research Center,US,6U,11/12/17,"Reentered, Operational",Investigate how and microgravity affects the antibiotic resistance of E. coli,sat/ecamsat.html,https://www.nanosats.eu/sat/ecamsat.html,
"ISARA (Integrated Solar Array and Reflectarray Antenna for High Bandwidth CubeSat, CUMULOS)",集成太阳阵列和反射阵列天线,"Jet Propulsion Laboratory, California Institute of Technology",US,3U,11/12/17,"Reentered, Operational",Demonstrate deployable reflectarray and Ka-band communications.,sat/isara.html,https://www.nanosats.eu/sat/isara.html,
"TechEdSat-6 (TechEdSat 6, TES-6)",科技教育卫星6号,NASA Ames Research Center,US,3U,11/12/17,"Reentered, Operational",Demonstrate an Exo-Brake system to provide a targeted nanosatellite de-orbit using fully propellant-less techniques and carries CUBIT identification tag.,sat/techedsat-6.html,https://www.nanosats.eu/sat/techedsat-6.html,
MiRaTA (Microwave Radiometer Technology Acceleration),微波辐射计技术加速星,MIT (Massachusetts Institute of Technology),US,3U,11/14/17,Was operational,Validate new technologies in both passive microwave radiometry and GPS radio occultation.,sat/mirata.html,https://www.nanosats.eu/sat/mirata.html,
RadFxSat (Fox-1B),辐射效应卫星,Vanderbilt University,US,1U,11/14/17,Operational,Demonstrate an on-orbit platform for radiation qualification of components for space flight.,sat/radfxsat.html,https://www.nanosats.eu/sat/radfxsat.html,
"Buccaneer Risk Mitigation (Buccaneer RMM, BRMM)",海盗风险降低任务,Australian Defence Science and Technology Organisation,Australia,3U,11/18/17,"Operational, ?",High frequency receiver for performance calibration of some aspects of the Over-the-Horizon Radar Network (JORN).,sat/buccaneer.html,https://www.nanosats.eu/sat/buccaneer.html,
EagleSat 1,鹰卫星,"Embry-Riddle Aeronautical University, Prescott",US,1U,11/18/17,No signal,Test new memory types in space and detect Space Fence.,sat/eaglesat-1.html,https://www.nanosats.eu/sat/eaglesat-1.html,
MakerSat-0 (MakerSat 0),制作者卫星0号,Northwest Nazarene University,US,1U,11/18/17,"Was operational, Semi-operational",Test the in-space material properties of various 3D printed polymers.,sat/makersat-0.html,https://www.nanosats.eu/sat/makersat-0.html,
AISSat-3,自动识别系统3号,Norwegian Space Centre,Norway,7 kg,11/28/17,Launch failure,Operational mission of AIS messages collection.,sat/aissat-3.html,https://www.nanosats.eu/sat/aissat-3.html,
D-Star One,D明星1号,German Orbital Systems,Germany,3U,11/28/17,Launch failure,Demonstrate CubeSat platform technologies and D-Star radios.,sat/d-star-one.html,https://www.nanosats.eu/sat/d-star-one.html,
"Helios Wire BIU (Landmapper-BC 4, Corvus-BC, SIRION Pathfinder)",赫利俄斯-威尔BIU星,Helios Wire,US,6U,11/28/17,Launch failure,Commercial constellation for IoT/M2M.,sat/helios-sirion.html,https://www.nanosats.eu/sat/helios-sirion.html,
SEAM (Small Explorer for Advanced Missions),先进任务小型探测器,Royal Institute of Technology (KTH),Sweden,3U,11/28/17,Launch failure,Demonstrate electromagnetically clean nanosatellite for various experiments.,sat/seam.html,https://www.nanosats.eu/sat/seam.html,
Arkyd 6A (A6A),阿基德6A,Planetary Resources,US,6U,1/12/18,"Was operational, Retired, ?",Test the instruments and deep space technologies for asteroid prospecting missions.,sat/arkyd-6.html,https://www.nanosats.eu/sat/arkyd-6.html,
CANYVAL-X 1U Jerry,韩美天文学立方星1号,Yonsei University,South Korea,1U,1/12/18,"Reentered, No signal",Demonstrate CubeSat astronomy using virtual telescope alignment.,sat/canyval-x-jerry.html,https://www.nanosats.eu/sat/canyval-x-jerry.html,
CANYVAL-X 2U Tom,韩美天文学立方星2号,Yonsei University,South Korea,2U,1/12/18,"Reentered, Was semi-operational",Demonstrate CubeSat astronomy using virtual telescope alignment.,sat/canyval-x-tom.html,https://www.nanosats.eu/sat/canyval-x-tom.html,
CNUSail-1 (Papillon),韩国忠南大学航行1号,Chungnam National University,South Korea,3U,1/12/18,No signal,Deploy solar sail and perform on orbit maneuver.,sat/cnusail-1.html,https://www.nanosats.eu/sat/cnusail-1.html,
DemoSat 2,演示卫星2号,Astranis,US,3U,1/12/18,"Reentered, Was operational, ?",Test a UHF radio payload for the planned microsatellite geostationary communication satellites.,sat/demosat-2.html,https://www.nanosats.eu/sat/demosat-2.html,
Fox-1D (AO-92 or AMSAT OSCAR 92),狐狸1D,The Radio Amateur Satellite Corporation (AMSAT),US,1U,1/12/18,Operational,Demonstrate high energy radiation instrument and amateur radio payload.,sat/fox-1d.html,https://www.nanosats.eu/sat/fox-1d.html,
KAUSAT-5,韩国航空大学卫星5号,Korea Aerospace University,South Korea,3U,1/12/18,"Reentered, No signal",Map Earth's surface in infrared and demonstrate CubeSat platform technologies.,sat/kausat-5.html,https://www.nanosats.eu/sat/kausat-5.html,
MicroMAS-2 A (MicroMAS-2A),微型微波大气卫星2a,MIT (Massachusetts Institute of Technology),US,3U,1/12/18,"Reentered, Operational",Validate new ultra-compact and low-power technology for CubeSat-sized microwave radiometers.,sat/micromas-2.html,https://www.nanosats.eu/sat/micromas-2.html,
PicSat,图片卫星,Paris Observatory,France,3U,1/12/18,"Reentered, Was operational",Observe the transit of the planet Beta Pictoris.,sat/picsat.html,https://www.nanosats.eu/sat/picsat.html,
SIGMA (KHUSAT-3),希格玛,Kyung Hee University,South Korea,3U,1/12/18,"Reentered, Was semi-operational",Measure the Linear Energy Transfer (LET) spectrum.,sat/sigma.html,https://www.nanosats.eu/sat/sigma.html,
SpaceBEE-1,太空蜜蜂1号,Swarm Technologies,US,0.25U,1/12/18,"Reentered, Operational",Test two-way communications and data relay for planned IoT constellation.,sat/spacebee-1-4.html,https://www.nanosats.eu/sat/spacebee-1-4.html,
STEP-1 (STEP Cube Lab),卫星通信实验项目立方实验室,Chosun University,South Korea,1U,1/12/18,"Reentered, Was operational, Semi-operational, ?",Demonstrate various technologies from universities including propulsion module.,sat/step-1.html,https://www.nanosats.eu/sat/step-1.html,
"Tyvak-61c (GEOStare, Tyvak 61C)",地球凝视者,Tyvak,US,3U,1/12/18,"Reentered, Operational",Test using CubeSats as Space Situational Awareness observatories.,sat/tyvak-61c.html,https://www.nanosats.eu/sat/tyvak-61c.html,
Kepler 1 KIPP (Kepler-0),开普勒1号(加拿大),Kepler Communications,Canada,3U,1/19/18,Operational,Pathfinder for upcoming constellation for IoT/M2M and wideband communications.,sat/kepler-3u.html,https://www.nanosats.eu/sat/kepler-3u.html,
"TY-2 (Xiaoxiang 2, XX 2, TY2, Hunan Xiangjiang New Area, Xiaoxiang-2, Tianji-2)",潇湘二号,Changsha Gaoxinqu Tianyi Research Institute,China,6U,1/19/18,Was operational,Verify improved communications technologies and amateur radio payloads.,sat/xiaoxiang-2.html,https://www.nanosats.eu/sat/xiaoxiang-2.html,
"TY-6 (Quantutong 1, QTT 1, QTT-1, TY6)",亦庄·全图通一号,Full-chart Location Network,China,6U,1/19/18,Was operational,First technical verification satellite for the future communications constellation.,sat/quantutong-1.html,https://www.nanosats.eu/sat/quantutong-1.html,
"Zhou Enlai HA-1 (Huai'an Enlai, ZG2U)",“淮安号”恩来星,Teenagers Amateur Radio Center of Activity in Huaian,China,2U,1/19/18,"Operational, ?",Amateur radio payloads and SSTV transmitter for images.,sat/zhou-enlai-ha-1.html,https://www.nanosats.eu/sat/zhou-enlai-ha-1.html,
Dove Pioneer (Planet Labs Tech-demo sat),鸽子先锋,Planet Labs,US,3U,1/21/18,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,sat/dove-pioneer.html,https://www.nanosats.eu/sat/dove-pioneer.html,
"Weina 1A (NanoSat-1A, Chuangxing 6-6, Weixing-1A)",微纳-1A,?,China,3U,1/25/18,Unknown,-,sat/weina-1ab.html,https://www.nanosats.eu/sat/weina-1ab.html,
"S-Net 1 (Tubsat 13, S-NET A)",S网A,Technical University of Berlin,Germany,8 kg,2/1/18,"Operational, ?",Demonstrate multipoint inter-satellite-link with S-band transceiver.,sat/s-net.html,https://www.nanosats.eu/sat/s-net.html,
"FMN-1 (FengMaNiu-1, FENGMANIU 1, Windmill One, ZG3U)",风马牛一号,Link Space Aerospace Technology,China,3U,2/2/18,"Reentered, Operational",Demonstrate CubeSat components and amateur radio payload plus cameras.,sat/fmn-1.html,https://www.nanosats.eu/sat/fmn-1.html,
